id,titulo,mpa,genero,duracion,fecha_estreno,productora,ingresos,presupuesto,voto_promedio,cantidad_votos,popularidad,director,genero_director
tt0076759,Star Wars,PG,Adventure,121,1977-05-25,Lucasfilm Ltd.,775398007,11000000,8.205,19651,92.517,George Lucas,Masculino
tt0076729,Smokey and the Bandit,PG,Action,96,1977-05-26,Universal Pictures,126700000,4300000,6.971,667,17.269,Hal Needham,Masculino
tt0075860,Close Encounters of the Third Kind,PG,Science Fiction,135,1977-12-14,Julia Phillips and Michael Phillips Productions,306889114,20000000,7.361,3954,29.289,Steven Spielberg,Masculino
tt0076666,Saturday Night Fever,R,Music,119,1977-12-16,Robert Stigwood Organization,237100000,3500000,6.73,1801,28.581,John Badham,Masculino
tt0075784,A Bridge Too Far,PG,Drama,175,1977-06-15,United Artists,50750000,22000000,7.223,753,27.237,Richard Attenborough,Masculino
tt0075925,The Deep,PG,Mystery,123,1977-06-17,EMI Films,100000000,9000000,6.1,205,16.37,Peter Yates,Masculino
tt0076752,The Spy Who Loved Me,PG,Adventure,125,1977-07-07,EON Productions,185438673,13000000,6.796,1838,31.94,Lewis Gilbert,Masculino
tt0075686,Annie Hall,PG,Comedy,93,1977-04-19,United Artists,38288028,4000000,7.8,3673,26.995,Woody Allen,Masculino
tt0076538,Pete's Dragon,G,Fantasy,128,1977-11-03,Walt Disney Productions,35488000,10000000,6.32,636,21.288,Don Chaffey,Masculino
tt0076138,Heroes,PG,Drama,112,1977-11-04,David Foster Productions,33500000,3200000,6.3,19,4.312,Jeremy Kagan,Masculino
tt0076141,High Anxiety,PG,Comedy,94,1977-12-25,Crossbow Productions,31063038,4015000,6.409,319,11.705,Mel Brooks,Masculino
tt0076009,Exorcist II: The Heretic,R,Drama,117,1977-06-17,Warner Bros. Pictures,30800000,14000000,4.5,662,32.212,John Boorman,Masculino
tt0076618,The Rescuers,G,Fantasy,78,1977-06-22,Walt Disney Productions,169000000,7500000,6.768,2357,29.474,Wolfgang Reitherman,Masculino
tt0076070,The Gauntlet,R,Drama,109,1977-12-17,Malpaso Productions,26400000,5500000,6.574,480,17.741,Clint Eastwood,Masculino
tt0076245,Julia,PG,Drama,117,1977-10-01,20th Century Fox,20700000,7840000,6.6,129,10.308,Fred Zinnemann,Masculino
tt0076451,"New York, New York",PG,Drama,163,1977-06-21,United Artists,16400000,14000000,6.6,421,11.662,Martin Scorsese,Masculino
tt0075765,Black Sunday,R,Action,143,1977-04-01,Paramount,15769322,8000000,6.713,130,9.202,John Frankenheimer,Masculino
tt0076504,Orca,PG,Horror,95,1977-07-22,Dino de Laurentiis Cinematografica,14717854,17500000,6.147,368,19.937,Michael Anderson,Masculino
tt0075774,Bobby Deerfield,PG,Drama,124,1977-09-29,First Artists,9300000,6400000,6,81,6.991,Sydney Pollack,Masculino
tt0077631,Grease,PG,Romance,110,1978-07-07,Paramount,396300000,6000000,7.393,6894,50.499,Randal Kleiser,Masculino
tt0078346,Superman,PG,Science Fiction,143,1978-12-14,Dovemead Films,300218018,55000000,7.125,3573,44.141,Richard Donner,Masculino
tt0077975,Animal House,R,Comedy,109,1978-07-27,Universal Pictures,141000000,2700000,7,1428,31.828,John Landis,Masculino
tt0077523,Every Which Way but Loose,NA,Action,110,1978-12-16,Malpaso Productions,85196485,5000000,6.126,418,22.014,James Fargo,Masculino
tt0077663,Heaven Can Wait,PG,Fantasy,101,1978-06-28,Paramount,98800000,15000000,6.577,366,11.153,Warren Beatty,Masculino
tt0077696,Hooper,PG,Action,99,1978-07-28,Warner Bros. Pictures,78000000,6000000,6.353,116,9.257,Hal Needham,Masculino
tt0077766,Jaws 2,PG,Horror,116,1978-06-16,Universal Pictures,187884007,20000000,5.974,1778,28.546,Jeannot Szwarc,Masculino
tt0077416,The Deer Hunter,R,Drama,183,1978-12-08,Universal Pictures,49000000,15000000,8.01,3575,30.842,Michael Cimino,Masculino
tt0077651,Halloween,R,Horror,91,1978-10-24,Compass International Pictures,70300000,325000,7.6,5222,45.402,John Carpenter,Masculino
tt0077578,Foul Play,PG,Comedy,116,1978-07-14,Paramount,45000000,5000000,6.306,201,10.255,Colin Higgins,Masculino
tt0077504,The End,R,Comedy,100,1978-05-10,United Artists,45000000,3000000,5.454,54,5.512,Burt Reynolds,Masculino
tt0077928,Midnight Express,R,Drama,121,1978-08-31,Columbia Pictures,35000000,2300000,7.512,1597,21.138,Alan Parker,Masculino
tt0077362,Coming Home,R,Drama,127,1978-02-15,United Artists,32653905,3000000,7.003,173,8.726,Hal Ashby,Masculino
tt0077869,The Lord of the Rings,PG,Adventure,132,1978-11-15,Fantasy Films,30500000,4000000,6.6,812,25.345,Ralph Bakshi,Masculino
tt0077699,House Calls,PG,Comedy,98,1978-03-15,Universal Pictures,28460702,6500000,6.964,14,2.345,Howard Zieff,Masculino
tt0077394,Damien: Omen II,R,Horror,107,1978-06-09,Mace Neufeld Productions,26518355,6800000,6.447,634,20.7,Don Taylor,Masculino
tt0077745,Invasion of the Body Snatchers,PG,Science Fiction,116,1978-12-20,United Artists,24946533,3500000,7.202,991,20.074,Philip Kaufman,Masculino
tt0077369,Convoy,PG,Action,110,1978-06-27,United Artists,45000000,12000000,6.329,336,22.306,Sam Peckinpah,Masculino
tt0078504,The Wiz,G,Adventure,134,1978-10-24,Universal Pictures,21049053,24000000,5.987,234,15.874,Sidney Lumet,Masculino
tt0078239,Sgt. Pepper's Lonely Hearts Club Band,PG,Adventure,113,1978-07-24,Universal Pictures,20378470,18000000,4.4,48,7.905,Michael Schultz,Masculino
tt0077530,Eyes of Laura Mars,R,Mystery,104,1978-08-02,Columbia Pictures,20000000,7000000,5.85,183,16.889,Irvin Kershner,Masculino
tt0077636,The Greek Tycoon,R,Drama,107,1978-05-12,Universal Pictures,14000000,6500000,5.6,26,6.425,J. Lee Thompson,Masculino
tt0077413,Death on the Nile,PG,Mystery,140,1978-09-29,Mersham Productions,14560084,7920000,7.15,725,22.38,John Guillermin,Masculino
tt0077280,The Buddy Holly Story,PG,Drama,114,1978-05-18,Innovisions,14363400,1200000,7.132,102,8.366,Steve Rash,Masculino
tt0077233,The Big Fix,PG,Comedy,108,1978-10-06,Universal Pictures,13000000,3800000,5.7,29,2.244,Jeremy Kagan,Masculino
tt0077742,Interiors,PG,Drama,93,1978-08-02,United Artists,10400000,10000000,6.848,319,9.33,Woody Allen,Masculino
tt0077807,King of the Gypsies,R,Drama,112,1978-12-20,Dino De Laurentiis Company,7325177,5000000,5.9,17,6.504,Frank Pierson,Masculino
tt0077572,Force 10 from Navarone,PG,Drama,114,1978-08-16,Columbia Pictures,7230000,5000000,6.237,278,15.74,Guy Hamilton,Masculino
tt0078056,Paradise Alley,PG,Action,107,1978-09-22,Universal Pictures,7185518,6000000,5.8,122,16.249,Sylvester Stallone,Masculino
tt0077248,Blue Collar,R,Drama,114,1978-02-10,TAT Communications Company,6521083,1700000,7.393,154,8.916,Paul Schrader,Masculino
tt0077405,Days of Heaven,PG,Drama,94,1978-09-13,Paramount,3700000,3000000,7.49,932,13.988,Terrence Malick,Masculino
tt0077714,I Wanna Hold Your Hand,PG,Comedy,99,1978-04-01,Universal Pictures,1944682,2700000,6.3,94,7.706,Robert Zemeckis,Masculino
tt0079417,Kramer vs. Kramer,PG,Drama,105,1979-12-07,Columbia Pictures,106260000,8000000,7.56,2073,21.237,Robert Benton,Masculino
tt0078767,The Amityville Horror,R,Horror,118,1979-07-26,American International Pictures,86400000,4700000,6.284,849,34.737,Stuart Rosenberg,Masculino
tt0079817,Rocky II,PG,Drama,118,1979-06-15,Winkler Films,85200000,7000000,7.3,4113,40.43,Sylvester Stallone,Masculino
tt0079945,Star Trek: The Motion Picture,G,Science Fiction,132,1979-12-07,Paramount,139000000,35000000,6.491,1617,31.801,Robert Wise,Masculino
tt0078748,Alien,R,Horror,117,1979-05-25,20th Century Fox,104931801,11000000,8.149,13631,112.943,Ridley Scott,Masculino
tt0078788,Apocalypse Now,R,Drama,147,1979-08-15,United Artists,150000000,31500000,8.3,7743,48.35,Francis Ford Coppola,Masculino
tt0078721,10,R,Comedy,122,1979-10-05,Orion Pictures,74865517,7000000,5.6,222,19.684,Blake Edwards,Masculino
tt0079367,The Jerk,R,Comedy,94,1979-12-14,Universal Pictures,100000000,4000000,6.89,760,12.747,Carl Reiner,Masculino
tt0079574,Moonraker,PG,Action,126,1979-06-26,United Artists,210308099,34000000,6.2,1840,31.453,Lewis Gilbert,Masculino
tt0079588,The Muppet Movie,G,Comedy,97,1979-06-22,ITC Entertainment,65200000,8000000,7.144,550,18.589,James Frawley,Masculino
tt0079100,The Electric Horseman,PG,Drama,122,1979-12-21,Columbia Pictures,61801971,12500000,6.061,132,11.133,Sydney Pollack,Masculino
tt0078966,The China Syndrome,PG,Drama,122,1979-03-16,Columbia Pictures,51718367,5900000,7.144,425,15.298,James Bridges,Masculino
tt0079540,Meatballs,PG,Comedy,92,1979-06-28,Canadian Film Development Corporation,43046003,1207520,5.827,277,13.043,Ivan Reitman,Masculino
tt0079116,Escape from Alcatraz,PG,Drama,113,1979-06-22,Paramount,43004381,8000000,7.524,2607,32.745,Don Siegel,Masculino
tt0079522,Manhattan,R,Comedy,96,1979-04-25,United Artists,40194067,9000000,7.748,2220,16.61,Woody Allen,Masculino
tt0078754,All That Jazz,R,Drama,123,1979-12-16,Columbia Pictures,37823676,12000000,7.458,448,15.736,Bob Fosse,Masculino
tt0078872,The Black Stallion,G,Family,118,1979-10-13,United Artists,37799643,2700000,7.048,262,10.966,Carroll Ballard,Masculino
tt0078869,The Black Hole,PG,Adventure,98,1979-12-18,Walt Disney Productions,35841901,20000000,5.9,448,29.195,Gary Nelson,Masculino
tt0078718,...And Justice for All,R,Drama,119,1979-10-19,Columbia Pictures,33300000,6000000,7.067,471,17.421,Norman Jewison,Masculino
tt0078723,1941,PG,Comedy,118,1979-12-14,Columbia Pictures,94900000,35000000,5.846,565,17.232,Steven Spielberg,Masculino
tt0079826,The Rose,R,Drama,125,1979-11-07,20th Century Fox,29174648,9250000,6.628,113,6.507,Mark Rydell,Masculino
tt0080120,The Warriors,R,Action,94,1979-02-01,Paramount,22490039,4000000,7.667,2003,32.398,Walter Hill,Masculino
tt0079638,Norma Rae,PG,Drama,110,1979-03-02,20th Century Fox,22228000,4500000,7.19,158,12.226,Martin Ritt,Masculino
tt0077278,Buck Rogers in the 25th Century,PG,Science Fiction,98,1979-03-02,Universal Pictures,21700000,3500000,5.868,72,4.557,Daniel Haller,Masculino
tt0078790,The Apple Dumpling Gang Rides Again,G,Comedy,88,1979-06-27,Walt Disney Productions,20931111,5450000,6.4,58,6.352,Vincent McEveety,Masculino
tt0077288,La Cage aux folles,R,Comedy,92,1978-10-25,United Artists,20424259,1100000,6.849,378,9.518,Édouard Molinaro,Masculino
tt0080130,When a Stranger Calls,R,Horror,97,1979-09-28,Melvin Simon Productions,25000000,1500000,6.095,232,8.179,Fred Walton,Masculino
tt0078199,"Same Time, Next Year",PG,Comedy,119,1978-04-23,Universal Pictures,19703082,1180000,6.5,67,6.962,Robert Mulligan,Masculino
tt0079875,The Seduction of Joe Tynan,R,Drama,108,1979-08-17,Universal Pictures,19595168,5000000,5.9,24,3.86,Jerry Schatzberg,Masculino
tt0079470,Life of Brian,R,Comedy,94,1979-08-17,HandMade Films,20700000,4000000,7.759,4132,33.443,Terry Jones,Masculino
tt0055254,One Hundred and One Dalmatians,G,Adventure,79,1961-01-25,Walt Disney Productions,303000000,3600000,7.178,5974,50.232,Hamilton Luske,Masculino
tt0079758,Prophecy,PG,Horror,102,1979-09-14,Paramount,54000000,12000000,5.4,118,13.646,John Frankenheimer,Masculino
tt0078902,Breaking Away,PG,Drama,100,1979-05-24,20th Century Fox,20000000,2300000,7.1,241,10.725,Peter Yates,Masculino
tt0079261,Hair,PG,Music,121,1979-03-15,CIP Filmproduktion GmbH,15313606,11000000,7.3,621,13.849,Miloš Forman,Masculino
tt0079576,More American Graffiti,PG,Comedy,110,1979-08-03,Universal Pictures,15000000,2500000,5.056,90,9.899,Bill L. Norton,Masculino
tt0079240,The First Great Train Robbery,PG,Thriller,110,1978-12-14,United Artists,13027857,6000000,6.68,327,17.073,Michael Crichton,Masculino
tt0078740,The Concorde... Airport '79,PG,Action,123,1979-08-17,Universal Pictures,13015688,14000000,4.8,169,13.239,David Lowell Rich,Masculino
tt0079714,Phantasm,R,Horror,89,1979-03-28,AVCO Embassy Pictures,11988469,300000,6.6,639,11.043,Don Coscarelli,Masculino
tt0079450,The Legacy,R,Horror,102,1978-09-29,Universal Pictures,11364985,2500000,5.4,64,7.344,Richard Marquand,Masculino
tt0067093,Fiddler on the Roof,G,Drama,181,1971-11-03,United Artists,83304330,9000000,7.685,525,25.066,Norman Jewison,Masculino
tt0079180,The Frisco Kid,PG,Adventure,119,1979-07-06,Warner Bros. Pictures,9300000,9200000,6.103,137,11.354,Robert Aldrich,Masculino
tt0079550,Meteor,PG,Action,107,1979-10-19,Palladium,12600000,16000000,5.088,131,13.465,Ronald Neame,Masculino
tt0078879,Bloodline,R,Crime,116,1979-06-29,NF Geria III-Produktion München,8200000,12000000,4.7,35,7.645,Terence Young,Masculino
tt0078736,Agatha,PG,Drama,99,1979-02-09,Sweetwall,7500000,3500000,6.4,46,5.604,Michael Apted,Masculino
tt0079239,The Great Santini,PG,Drama,115,1979-10-26,Bing Crosby Productions,4700000,4000000,6.708,60,5.518,Lewis John Carlino,Masculino
tt0079806,Rich Kids,PG,Comedy,101,1979-08-17,United Artists,1856122,2500000,5.3,12,2.597,Robert M. Young,Masculino
tt0080684,The Empire Strikes Back,PG,Adventure,124,1980-05-20,Lucasfilm Ltd.,538400000,18000000,8.391,16177,39.077,Irvin Kershner,Masculino
tt0080319,Nine to Five,PG,Comedy,110,1980-12-18,IPC Films,103300000,10000000,6.9,454,14.771,Colin Higgins,Masculino
tt0081562,Stir Crazy,R,Comedy,111,1980-12-12,Columbia Pictures,101300000,10000000,6.45,408,18.192,Sidney Poitier,Masculino
tt0080339,Airplane!,PG,Comedy,88,1980-07-02,Paramount,83453539,3500000,7.292,4202,48.586,Jerry Zucker,Masculino
tt0080377,Any Which Way You Can,PG,Action,115,1980-12-17,Warner Bros. Pictures,70687344,15000000,5.802,306,19.463,Buddy Van Horn,Masculino
tt0081375,Private Benjamin,R,Comedy,110,1980-10-06,Warner Bros. Pictures,69800000,15000000,5.938,352,13.784,Howard Zieff,Masculino
tt0080549,Coal Miner's Daughter,PG,Music,125,1980-03-07,Universal Pictures,67182787,15000000,7.3,234,12.443,Michael Apted,Masculino
tt0081529,Smokey and the Bandit II,PG,Action,100,1980-08-15,Universal Pictures,66100000,17000000,5.571,262,17.983,Hal Needham,Masculino
tt0080453,The Blue Lagoon,R,Romance,104,1980-07-05,Columbia Pictures,58853106,4500000,6.2,1711,28.228,Randal Kleiser,Masculino
tt0080455,The Blues Brothers,R,Music,133,1980-06-16,Universal Pictures,115200000,27000000,7.745,3947,29.338,John Landis,Masculino
tt0081283,Ordinary People,R,Drama,124,1980-09-19,Paramount,54766923,6000000,7.449,578,19.927,Robert Redford,Masculino
tt0081353,Popeye,PG,Action,114,1980-12-12,Paramount,49823037,20000000,5.4,569,18.058,Robert Altman,Masculino
tt0081696,Urban Cowboy,PG,Drama,132,1980-06-06,Paramount,53300000,10000000,6.452,243,17.147,James Bridges,Masculino
tt0081505,The Shining,R,Horror,144,1980-05-23,Warner Bros. Pictures,44781695,19000000,8.215,16654,46.938,Stanley Kubrick,Masculino
tt0080487,Caddyshack,NA,Comedy,98,1980-07-25,Orion Pictures,39846344,6000000,6.641,1074,18.23,Harold Ramis,Masculino
tt0080761,Friday the 13th,R,Horror,94,1980-05-09,Georgetown Productions Inc.,59800000,550000,6.4,2731,50.532,Sean S. Cunningham,Masculino
tt0080474,Brubaker,R,Crime,125,1980-06-20,20th Century Fox,37121708,9000000,7.039,432,20.111,Stuart Rosenberg,Masculino
tt0080661,Dressed to Kill,R,Mystery,105,1980-07-25,Filmways Pictures,31899000,6500000,6.9,840,21.974,Brian De Palma,Masculino
tt0080948,The Jazz Singer,PG,Drama,115,1980-12-17,EMI Films,27118000,13000000,5.8,61,8.392,Richard Fleischer,Masculino
tt0080745,Flash Gordon,PG,Science Fiction,111,1980-09-01,Dino De Laurentiis Company,27100000,35000000,6.195,902,25.944,Mike Hodges,Masculino
tt0048280,Lady and the Tramp,G,Family,76,1955-06-22,Walt Disney Productions,36359037,4000000,7.114,5000,46.765,Hamilton Luske,Masculino
tt0080678,The Elephant Man,PG,Drama,124,1980-10-09,Brooksfilms,26000000,5000000,8.05,3261,18.283,David Lynch,Masculino
tt0080472,Bronco Billy,PG,Drama,116,1980-06-11,Second Street Films,24300000,6500000,6.3,237,14.588,Clint Eastwood,Masculino
tt0081398,Raging Bull,R,Drama,129,1980-11-14,United Artists,23000000,18000000,7.9,4039,35.568,Martin Scorsese,Masculino
tt0081777,Xanadu,PG,Fantasy,96,1980-08-08,Universal Pictures,22762571,20000000,5.684,244,12.722,Robert Greenwald,Masculino
tt0080365,American Gigolo,R,Crime,117,1980-02-08,Paramount,52700000,5000000,6.115,584,28.88,Paul Schrader,Masculino
tt0080749,The Fog,R,Horror,89,1980-02-08,AVCO Embassy Pictures,21448830,1000000,6.726,1430,26.37,John Carpenter,Masculino
tt0080716,Fame,R,Drama,134,1980-05-16,Metro-Goldwyn-Mayer,42000000,8500000,6.5,417,12.466,Alan Parker,Masculino
tt0080009,Tess,PG,Drama,171,1979-10-06,Renn Productions,20101247,12000000,7.013,312,12.159,Roman Polanski,Masculino
tt0080360,Altered States,R,Horror,102,1980-12-25,Warner Bros. Pictures,19853892,15000000,6.7,599,17.715,Ken Russell,Masculino
tt0038969,Song of the South,G,Family,94,1946-11-12,Walt Disney Productions,65000000,2125000,6.4,251,19.607,Wilfred Jackson,Masculino
tt0080569,Cruising,R,Crime,102,1980-02-15,CiP - Europaische Treuhand AG,19814523,11000000,6.6,486,24.608,William Friedkin,Masculino
tt0081259,The Octagon,R,Adventure,104,1980-08-14,American Cinema Productions,18971000,4000000,5.088,114,12.782,Eric Karson,Masculino
tt0065421,The Aristocats,G,Animation,78,1970-12-24,Walt Disney Productions,191000000,4000000,7.3,4776,44.444,Wolfgang Reitherman,Masculino
tt0081439,Rough Cut,PG,Adventure,112,1980-06-19,David Merrick Productions,16656125,14000000,5.706,34,4.26,Don Siegel,Masculino
tt0080736,The Final Countdown,PG,War,103,1980-01-31,Bryna Productions,16647800,12000000,6.6,551,25.041,Don Taylor,Masculino
tt0081071,The Long Riders,R,Western,99,1980-05-16,United Artists,15795189,10000000,6.7,227,15.235,Walter Hill,Masculino
tt0080934,The Island,R,Thriller,114,1980-06-13,Universal Pictures,15700000,22000000,5.192,78,8.913,Michael Ritchie,Masculino
